addressable_patients,peak_penetration,annual_price_usd,approval_prob,ramp_years,exclusivity_years,operating_margin,discount_rate,peak_revenue_musd,npv_if_approved_musd,rnpv_musd,synergy_musd
47239,0.2817049983430361,92609.70189098039,0.8902498172146849,4,11,0.5921295844698508,0.09074503547704922,1232.4001273384833,4254.603196640775,3787.659718130464,211.55231236963775
54880,0.2514378493496239,88361.52209770601,0.841495975853612,4,13,0.6099729151809887,0.10720070529649983,1219.2926177530746,4388.660930585522,3693.040512473685,250.6700192730044
50193,0.26339556294574334,90949.3183048777,0.8938150112349111,4,11,0.6591520816255687,0.08,1202.405784572871,4827.889144780928,4315.239790183271,147.37952078324284
44704,0.2150602163436693,90967.04584451625,0.8341889358513547,6,13,0.6522813412878106,0.10571931075424658,874.5619009783749,2901.4508951933803,2420.3582346863263,253.21238166043963
48263,0.3995129121123594,76791.86112901359,0.9078726910909691,5,13,0.649425174302166,0.09594329641406896,1480.6769896140509,5651.409757397161,5130.760584905922,419.4164277009307
45950,0.23805274647078656,75797.62778997017,0.8960711677440772,5,14,0.642026136007284,0.09711291919030564,829.1141480095807,3078.1975504329694,2758.284073563429,67.89732569126183
37352,0.2899458474791279,84828.66938339714,0.8876818934603732,5,10,0.6132204930879148,0.08662597424716571,918.699349684229,3281.3385651719827,2912.7848306164096,605.4796315711387
40055,0.37605993333995924,85410.99192183847,0.8931514175746094,6,11,0.6346280428262719,0.09653882053894908,1286.5526580011294,3946.7415372186047,3525.0377987673896,390.05792876551055
43265,0.4070742919032241,78244.7590202143,0.8627235736345409,4,13,0.599378699123733,0.12823814214789456,1378.0521134679848,4285.479638631478,3697.1843085782098,241.84912283867592
43955,0.34834297969657674,89305.4525768471,0.8426997448036084,4,12,0.6770301653169575,0.09985536257546056,1367.3929062304715,5447.804910607667,4590.863807908926,305.5382075018528
56546,0.2681038757529851,92311.07456012382,0.8882562034761522,6,12,0.597787434631205,0.10534961401328805,1399.4545148595637,4154.443121739393,3690.209874873847,473.9550497636487
43576,0.3925008809719372,96176.39811515372,0.8410813310343951,6,12,0.5794164618764438,0.13201410649366224,1644.9644114125501,3722.2071915958354,3130.678979093223,193.90303312819304
46192,0.2400652396333574,86284.57550279539,0.8494756503783365,6,14,0.6128601214561463,0.0873315503552914,956.8177295986807,3677.6004664016555,3124.03204802822,403.83708298656103
44944,0.41919812416671465,88812.92855869423,0.878274513912415,4,13,0.5619814314122472,0.1042843296578703,1673.2746954790684,5541.400777217838,4866.8710740048755,213.03389512991563
57764,0.2596857484877071,84983.31301992688,0.8754254155094272,4,12,0.5674208799215491,0.10556490349751906,1274.7911310924706,4138.638152273158,3623.0690240968975,256.52771020394954
37881,0.24432225658600337,83364.71003391837,0.8347521706054722,6,11,0.6751581721824653,0.11328786127887577,771.5546802198014,2128.6159321058385,1776.8667697107392,87.87437262856241
48882,0.40737517200415657,77476.5623803742,0.9015487462656441,4,13,0.6235778221952104,0.09529594833441639,1542.8150490785222,6191.713314501941,5582.13137592552,419.6936191868126
53044,0.34645416452104916,90554.24102474589,0.8555787437078199,6,12,0.6590845568556214,0.13464816410592342,1664.1437849898955,4355.073498206619,3726.1083123508397,361.481594370323
50997,0.31047901118232046,74282.44646687064,0.8386315321596804,5,11,0.5581054251877905,0.0970605264368067,1176.1509774675383,3625.2349695605308,3040.2363569614004,469.17432485335263
48687,0.31282252140745814,85854.80993135597,0.8832001481895899,5,12,0.5906180315283014,0.15,1307.6022471957224,2984.809023506831,2636.1837718788584,123.63744089506223
45041,0.27425650222746883,83721.51248589031,0.8430414027549569,6,12,0.6439533873563168,0.11470793909554111,1034.1940208370122,3194.057997977834,2692.7231350959223,439.3795651441987
45322,0.292996638722451,82921.5882670464,0.9201850418819667,5,13,0.5262915883162717,0.13502605653795202,1101.1318292077299,2875.7640268833184,2646.2350415202795,429.0196620596149
46126,0.3811042194910477,93315.37875456405,0.8619488533755747,5,14,0.5667073546731651,0.08455440512173318,1640.373614449336,6022.298280808384,5190.913097828482,269.3157813599698
45847,0.37157760136157114,80300.79813808834,0.8882004977885664,5,11,0.6394280076563567,0.10062765031509764,1367.9817755124327,4428.650885274915,3933.5299208329543,313.65632371720227
42862,0.3803804718323887,84155.82441086351,0.8684458758491714,4,12,0.6360930084966617,0.09429575166388854,1372.0654344212953,5257.0226484471605,4565.439638289625,241.92511368310613
44988,0.37702387049247865,72015.85759871516,0.8733397717976421,4,11,0.6459886861539145,0.10050736292741688,1221.5005612232,4423.434432204764,3863.1612175835407,292.57147024761514
44095,0.30622642460687577,87802.69212722384,0.8364195657720852,4,11,0.7100455874380587,0.11775332613170239,1185.6045100887266,4175.6960970664395,3492.6339163045022,176.9755851280851
41473,0.23027846880769526,89108.76071236786,0.8787913612312345,4,13,0.5919372336715486,0.1318671568029394,851.0188670468051,2938.2588654745973,2582.116508040164,524.3477600993364
47128,0.3186473029638636,73922.30731491315,0.9198120289942433,4,12,0.612145041633815,0.089475677032018,1110.106819587269,4615.35199650106,4245.256284424272,592.5297855877637
43890,0.31406363741005394,74325.24988557614,0.8367413000417107,4,12,0.5273321303836119,0.11255143623902816,1024.5180521245582,3108.3076299057298,2600.849367176889,326.5012012869221
44255,0.317558265946818,77522.21246130366,0.8347520265560935,5,11,0.6365941491556957,0.09523929693982365,1089.4615958463864,3665.388761184441,3059.6906965146413,293.27944237117396
52968,0.26654881468654906,88239.11901691774,0.894465499289497,5,12,0.6310262680773825,0.10750154429394776,1245.8090858534176,4219.074046982333,3773.8161739734114,455.3727129005558
40318,0.3624308212817724,93950.62058117338,0.8741856150428999,6,12,0.7180058919380657,0.08780481910471968,1372.8521140702132,5025.514325579017,4393.232331613198,141.37253333921782
48673,0.44531115327612386,74657.83399095011,0.9166567858791922,4,14,0.5999295496185952,0.1080928647304399,1618.1809106918786,5819.807000304747,5334.765579336572,232.65543011499784
40223,0.335519376277858,89720.69501620383,0.9059222858408352,6,13,0.6632879764271045,0.11453095398322345,1210.83424129583,3798.6398146839906,3441.2724640045276,289.93885521036435
51735,0.25481994513190626,85682.88066971509,0.8072390476260974,6,12,0.6902948316129507,0.13542535788345358,1129.5668291100094,3093.2839009834033,2497.019550266982,267.980694460584
46988,0.32698864000407646,85701.71688009231,0.863594158694301,5,11,0.7185209096081822,0.12014725634013951,1316.7676470316985,4333.509501504997,3742.393492145968,372.25521810831776
45816,0.2974404664627625,92157.8155025096,0.8687287730484081,5,13,0.6253764895956565,0.08727909025051797,1255.8836177296096,4749.701224371058,4126.202116994391,214.7977211811724
